stage,p95_ms,max_ms,budget_ms,within_budget
ingest,5.0,7.1,8.0,true
decision,7.6,10.8,12.0,true
schedule,4.1,6.3,8.0,true
transport,12.8,18.6,20.0,true
cycle,29.4,39.7,45.0,true
